<<<<<<< HEAD
=======
Joe Biden,"November 20, 1942","Scranton, Pennsylvania, U.S.",Democratic
George W. Bush,"July 6, 1946","New Haven, Connecticut, U.S.",Republican
Barack Obama,"August 4, 1961","Honolulu, Hawaii, U.S.",Democratic
Donald Trump,"June 14, 1946","Queens, New York City, U.S.",Republican
Joe Biden,"November 20, 1942","Scranton, Pennsylvania, U.S.",Democratic
Dick Cheney,"January 30, 1941","Lincoln, Nebraska, U.S.",Republican
Al Gore,"March 31, 1948","Washington, D.C., U.S.",Democratic
Kamala Harris,"October 20, 1964","Oakland, California, U.S.",Democratic
Mike Pence,"June 7, 1959","Columbus, Indiana, U.S.",Republican
George H. W. Bush,"June 12, 1924","Milton, Massachusetts, U.S.",Republican
Jimmy Carter,"October 1, 1924","Plains, Georgia, U.S.",Democratic
Bill Clinton,"August 19, 1946","Hope, Arkansas, U.S.",Democratic
Calvin Coolidge,"July 4, 1872","Plymouth Notch, Vermont, U.S.",Republican
Dwight D. Eisenhower,"October 14, 1890","Denison, Texas, U.S.",Republican
Gerald Ford,"July 14, 1913","Omaha, Nebraska, U.S.",Republican
Warren G. Harding,"November 2, 1865","Blooming Grove, Ohio, U.S.",Republican
Herbert Hoover,"August 10, 1874","West Branch, Iowa, U.S.",Republican
Lyndon B. Johnson,"August 27, 1908","Stonewall, Texas, U.S.",Democratic
John F. Kennedy,"May 29, 1917","Brookline, Massachusetts, U.S.",Democratic
William McKinley,"January 29, 1843","Niles, Ohio, U.S.",Republican
Richard Nixon,"January 9, 1913","Yorba Linda, California, U.S.",Republican
Ronald Reagan,"February 6, 1911","Tampico, Illinois, U.S.",Republican
Franklin D. Roosevelt,"January 30, 1882","Hyde Park, New York, U.S.",Democratic
Theodore Roosevelt,"October 27, 1858",,Republican
William Howard Taft,"September 15, 1857","Cincinnati, Ohio, U.S.",Republican
Harry S. Truman,"May 8, 1884","Lamar, Missouri, U.S.",Democratic
Woodrow Wilson,"December 28, 1856","Staunton, Virginia, U.S.",Democratic
>>>>>>> parent of c923b27 (Everything is fixed)
